Country Name;Country Code;Indicator Name;Indicator Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Antigua and Barbuda;ATG;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.1024;0.1023;0.1246;0.1257;0.112;0.1356;0.1229;0.1357;0.1357;0.1342;0.1327;0.1163;0.1482;0.0854;0.1043;0.1047;0.1107;0.1463;0.1579;0.1619;0.1543;0.1565;0.1579;0.1548;0.164;0.1724;0.1714;0.1793;0.1835;0.1778;0.1241;0.1239;0.1376;0.1512;0.1555;0.1602;0.1782;0.1989;0.2139;0.2475;0.2605;0.2011;0.2223;0.267;0.2761;0.2749;0.2945;0.2534;0.2919;0.3257;0.2768;0.2672;0.2777
Australia;AUS;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;160.382;162.1127;167.9623;177.3248;186.8515;193.6006;196.3899;209.67;205.9944;211.8509;222.0201;222.9801;229.2675;217.7385;223.525;237.9423;238.4026;249.5918;258.3907;274.1675;277.2016;279.3201;282.68;286.7089;292.082;302.3307;312.3754;322.0276;341.7675;347.9101;353.6536;360.2949;368.5431;367.9099;381.6662;383.8176;389.8768;400.3914;404.0073;409.6867;415.0309;412.5922;413.1067;405.464;396.0261;402.5868;412.962;415.4584;413.9948;413.0803;397.3706;388.0656;393.1625
Austria;AUT;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;52.664;55.097;57.4279;60.6979;58.1382;55.9456;61.1688;58.5101;60.5996;63.0493;61.1394;57.8733;55.7372;55.7656;57.6037;58.9975;57.7841;58.4242;57.0084;57.0192;61.5825;65.5263;60.5347;60.5879;61.1275;64.0781;68.0015;67.5516;68.1531;66.3142;66.759;71.4617;72.966;78.079;79.4246;79.9032;77.7207;74.9072;74.5096;67.9079;73.581;71.9557;68.8985;69.4999;65.8761;67.2562;67.6656;69.9541;66.9575;68.5563;62.6299;65.554;61.1745
Azerbaijan;AZE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;36.2572;37.8255;40.0035;42.469;44.6795;47.8908;49.406;50.7098;52.8962;54.3486;56.4892;55.6337;55.0272;54.545;54.4699;54.1491;54.8405;56.7847;57.1652;57.6711;54.4128;52.9763;43.1337;37.9279;33.7008;32.6833;27.384;26.6346;26.6574;26.3474;27.9001;26.5632;26.3369;28.856;28.548;30.3392;30.7971;27.9208;30.8936;25.7572;24.5433;27.8072;30.6183;31.5464;32.9557;32.4667;32.8201;32.6737;33.5697;36.4955;35.15;37.1871;37.1296
Burundi;BDI;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.0583;0.0584;0.0582;0.06;0.0642;0.0665;0.0688;0.0711;0.0723;0.0823;0.0812;0.0884;0.0737;0.0898;0.1064;0.1064;0.1116;0.1622;0.2297;0.2439;0.2042;0.2923;0.2301;0.2551;0.265;0.2583;0.2791;0.2787;0.2945;0.3003;0.3017;0.2384;0.2233;0.1845;0.2204;0.1848;0.2329;0.3759;0.2228;0.2205;0.3227;0.4136;0.4004;0.4501;0.4078;0.434;0.472;0.5194;0.7048;0.7587;0.826;0.9016;0.9242
Belgium;BEL;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;139.2517;129.139;140.7477;146.1455;144.9774;127.69;137.3339;134.7518;139.1759;148.4194;137.7774;125.8689;118.1266;108.44;111.2357;108.8063;109.3707;109.4755;111.7281;112.803;115.8086;119.7312;117.6273;115.6967;122.1112;122.4165;127.4091;124.4185;127.4042;123.113;124.9696;125.934;118.4934;123.3716;121.9268;119.0886;116.1351;112.9672;114.3278;107.0745;114.6444;104.2439;102.773;104.1691;97.4685;102.0938;101.0047;99.4023;100.1343;100.0509;92.3731;97.2288;90.4149
Benin;BEN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.3114;0.3617;0.4616;0.4765;0.489;0.5486;0.3659;0.4272;0.4541;0.5095;0.5354;0.4456;0.5172;0.5098;0.5236;0.6175;0.5537;0.5029;0.4552;0.4013;0.3976;0.3494;0.3796;0.3845;0.3907;0.3969;1.0745;1.364;1.3145;1.4403;1.5449;1.8564;2.142;2.3992;2.5577;2.8009;3.8581;4.3968;4.3641;4.682;5.0792;4.9588;4.7231;4.9691;5.4582;5.8055;7.1006;7.24;8.2462;8.0939;8.5716;9.2759;9.6195
Burkina Faso;BFA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.2262;0.2265;0.2256;0.2332;0.251;0.2607;0.2701;0.2794;0.2841;0.3263;0.3207;0.3079;0.2872;0.3135;0.3036;0.2937;0.3576;0.5076;0.4981;0.4126;0.3324;0.4743;0.4058;0.4242;0.4637;0.4716;0.525;0.8384;0.7919;0.8106;0.8994;1.0311;1.0855;1.2028;1.077;1.1437;1.1617;1.6476;1.9183;1.8274;1.9781;2.2067;2.5882;3.0259;2.7696;3.9258;3.8178;4.3275;4.8665;5.2991;5.1444;5.5973;5.8205
Bangladesh;BGD;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;3.3388;3.3456;3.4698;4.0988;4.3158;5.1734;5.551;5.7272;6.1481;6.8499;7.6863;7.4867;8.151;8.6728;8.1095;9.3791;10.4041;11.3824;12.4016;13.5813;14.3106;13.5989;15.2168;16.0752;17.37;21.1999;21.5594;23.2127;23.7246;25.3856;26.4911;32.0811;33.7648;35.3627;37.3599;39.7724;42.7606;45.1995;50.5364;53.7296;59.5502;63.3987;68.091;71.8655;75.6482;84.6333;92.8755;100.1955;109.984;107.1606;99.7782;105.3168;109.0753
Bulgaria;BGR;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;68.9484;68.8858;71.1829;72.1585;73.0356;78.139;79.0154;82.01;88.083;91.361;94.4772;90.5894;92.4616;91.5249;89.9774;92.1381;93.2498;93.5815;92.7233;91.5716;79.7513;64.712;61.833;62.6921;59.7874;61.1611;61.4345;59.2217;56.7962;50.0133;48.0825;50.2125;47.3837;53.2297;51.2419;52.3462;53.9416;57.4994;54.4064;46.4564;49.4329;54.7156;49.871;44.4068;47.2492;49.7792;47.0982;49.2263;46.2676;44.5676;39.3622;45.7973;50.1033
